iter	Passed	Remaining
0	80	80847
1	96	48142
2	110	36692
3	122	30489
4	125	24956
5	136	22695
6	148	21046
7	159	19819
8	171	18883
9	182	18086
10	194	17467
11	205	16936
12	217	16486
13	229	16128
14	240	15819
15	252	15535
16	264	15311
17	276	15071
18	288	14870
19	300	14708
20	311	14544
21	323	14381
22	330	14034
23	342	13915
24	353	13794
25	365	13684
26	376	13573
27	388	13486
28	400	13397
29	411	13309
30	423	13241
31	435	13165
32	446	13090
33	457	13011
34	469	12937
35	480	12868
36	492	12805
37	503	12758
38	515	12708
39	527	12656
40	539	12610
41	550	12556
42	562	12509
43	573	12461
44	584	12410
45	596	12370
46	607	12324
47	619	12279
48	630	12243
49	642	12205
50	653	12162
51	665	12128
52	676	12088
53	688	12053
54	699	12018
55	711	11986
56	722	11952
57	733	11919
58	745	11896
59	757	11869
60	769	11841
61	781	11817
62	792	11789
63	804	11767
64	816	11744
65	827	11716
66	839	11690
67	851	11665
68	862	11634
69	873	11609
70	885	11584
71	896	11554
72	907	11528
73	919	11504
74	930	11482
75	942	11460
76	954	11439
77	965	11418
78	977	11398
79	989	11378
80	1001	11359
81	1012	11338
82	1024	11322
83	1037	11311
84	1050	11309
85	1064	11312
86	1078	11323
87	1093	11330
88	1107	11332
89	1129	11417
90	1144	11434
91	1156	11412
92	1167	11388
93	1179	11368
94	1190	11345
95	1202	11324
96	1214	11304
97	1226	11285
98	1237	11262
99	1249	11242
100	1261	11226
101	1272	11206
102	1284	11187
103	1296	11167
104	1307	11146
105	1319	11125
106	1330	11105
107	1342	11087
108	1353	11067
109	1365	11048
110	1376	11026
111	1388	11010
112	1400	10993
113	1412	10977
114	1424	10958
115	1435	10938
116	1447	10922
117	1459	10906
118	1470	10888
119	1482	10870
120	1493	10849
121	1505	10832
122	1516	10812
123	1528	10794
124	1539	10775
125	1550	10757
126	1562	10740
127	1574	10723
128	1585	10706
129	1597	10690
130	1610	10680
131	1622	10667
132	1634	10652
133	1645	10634
134	1656	10615
135	1668	10601
136	1680	10583
137	1691	10567
138	1703	10549
139	1715	10536
140	1728	10528
141	1742	10525
142	1759	10546
143	1775	10554
144	1791	10561
145	1813	10605
146	1824	10589
147	1836	10572
148	1848	10555
149	1859	10538
150	1871	10521
151	1882	10502
152	1894	10485
153	1905	10467
154	1917	10451
155	1928	10434
156	1939	10416
157	1951	10400
158	1963	10384
159	1975	10369
160	1986	10351
161	1998	10335
162	2010	10322
163	2022	10308
164	2034	10293
165	2045	10276
166	2057	10260
167	2068	10243
168	2080	10228
169	2091	10213
170	2103	10198
171	2114	10181
172	2126	10167
173	2138	10151
174	2149	10135
175	2161	10119
176	2173	10104
177	2184	10088
178	2196	10073
179	2207	10057
180	2219	10040
181	2230	10026
182	2242	10012
183	2254	9998
184	2266	9983
185	2278	9969
186	2289	9954
187	2301	9940
188	2314	9929
189	2326	9916
190	2337	9901
191	2349	9885
192	2360	9871
193	2372	9855
194	2383	9840
195	2395	9825
196	2406	9810
197	2418	9795
198	2430	9781
199	2441	9767
200	2453	9751
201	2464	9735
202	2476	9723
203	2488	9708
204	2499	9693
205	2511	9680
206	2523	9668
207	2535	9655
208	2547	9642
209	2559	9627
210	2571	9614
211	2582	9600
212	2594	9585
213	2606	9571
214	2617	9557
215	2629	9542
216	2640	9527
217	2652	9513
218	2663	9498
219	2675	9486
220	2687	9471
221	2699	9458
222	2710	9445
223	2722	9431
224	2733	9417
225	2745	9403
226	2757	9389
227	2768	9375
228	2780	9360
229	2791	9346
230	2803	9332
231	2814	9316
232	2825	9301
233	2837	9287
234	2848	9273
235	2860	9259
236	2872	9246
237	2883	9233
238	2895	9219
239	2907	9206
240	2918	9192
241	2930	9179
242	2942	9165
243	2954	9153
244	2966	9140
245	2977	9126
246	2989	9112
247	3000	9099
248	3012	9085
249	3024	9072
250	3035	9058
251	3047	9044
252	3058	9030
253	3070	9016
254	3081	9003
255	3093	8989
256	3104	8975
257	3115	8960
258	3127	8946
259	3138	8932
260	3150	8919
261	3162	8906
262	3173	8892
263	3184	8878
264	3196	8864
265	3207	8851
266	3219	8837
267	3230	8823
268	3242	8811
269	3253	8797
270	3265	8783
271	3276	8769
272	3288	8755
273	3299	8743
274	3311	8730
275	3322	8716
276	3334	8704
277	3346	8690
278	3357	8676
279	3369	8663
280	3380	8650
281	3392	8637
282	3403	8623
283	3415	8610
284	3427	8597
285	3439	8585
286	3450	8572
287	3462	8558
288	3473	8546
289	3485	8532
290	3496	8519
291	3509	8508
292	3520	8495
293	3532	8483
294	3544	8471
295	3556	8457
296	3568	8446
297	3580	8434
298	3592	8422
299	3604	8410
300	3616	8397
301	3628	8385
302	3639	8372
303	3651	8360
304	3663	8347
305	3674	8334
306	3686	8322
307	3698	8309
308	3709	8295
309	3721	8283
310	3732	8270
311	3744	8257
312	3755	8243
313	3767	8231
314	3779	8217
315	3790	8205
316	3802	8192
317	3814	8179
318	3825	8166
319	3837	8154
320	3848	8141
321	3860	8128
322	3872	8115
323	3883	8102
324	3894	8088
325	3906	8076
326	3918	8063
327	3929	8051
328	3941	8038
329	3953	8026
330	3964	8013
331	3976	8000
332	3987	7987
333	4000	7976
334	4011	7963
335	4023	7950
336	4034	7937
337	4045	7924
338	4057	7912
339	4069	7900
340	4081	7887
341	4093	7874
342	4104	7862
343	4116	7849
344	4127	7836
345	4139	7824
346	4151	7812
347	4162	7799
348	4174	7787
349	4186	7774
350	4198	7762
351	4210	7750
352	4222	7738
353	4235	7729
354	4251	7725
355	4267	7719
356	4280	7709
357	4293	7699
358	4305	7687
359	4316	7674
360	4328	7661
361	4340	7649
362	4352	7636
363	4364	7625
364	4375	7612
365	4387	7599
366	4398	7586
367	4410	7574
368	4421	7561
369	4433	7549
370	4445	7537
371	4457	7524
372	4468	7512
373	4480	7499
374	4492	7487
375	4504	7476
376	4516	7463
377	4527	7450
378	4539	7437
379	4550	7425
380	4562	7412
381	4574	7401
382	4586	7389
383	4598	7376
384	4610	7364
385	4621	7351
386	4633	7338
387	4645	7327
388	4657	7314
389	4668	7302
390	4681	7291
391	4693	7279
392	4704	7266
393	4716	7254
394	4728	7242
395	4740	7230
396	4751	7217
397	4763	7205
398	4775	7192
399	4787	7180
400	4799	7169
401	4811	7156
402	4822	7144
403	4834	7131
404	4845	7118
405	4857	7107
406	4869	7095
407	4881	7082
408	4893	7070
409	4904	7058
410	4916	7045
411	4928	7033
412	4940	7021
413	4952	7009
414	4963	6996
415	4975	6984
416	4987	6972
417	4999	6960
418	5010	6948
419	5022	6935
420	5033	6922
421	5045	6910
422	5057	6898
423	5069	6886
424	5081	6874
425	5092	6862
426	5104	6849
427	5116	6837
428	5128	6825
429	5139	6813
430	5151	6801
431	5163	6788
432	5175	6776
433	5186	6764
434	5198	6752
435	5210	6740
436	5221	6727
437	5233	6715
438	5245	6702
439	5256	6690
440	5268	6678
441	5280	6665
442	5291	6653
443	5302	6640
444	5314	6628
445	5327	6618
446	5340	6606
447	5351	6594
448	5363	6582
449	5375	6569
450	5386	6557
451	5398	6545
452	5409	6532
453	5421	6520
454	5433	6508
455	5445	6496
456	5456	6483
457	5468	6471
458	5480	6459
459	5492	6447
460	5503	6435
461	5515	6422
462	5527	6410
463	5538	6398
464	5550	6386
465	5562	6374
466	5574	6361
467	5585	6349
468	5597	6337
469	5608	6324
470	5620	6312
471	5631	6300
472	5643	6287
473	5655	6275
474	5667	6263
475	5678	6251
476	5690	6239
477	5702	6227
478	5713	6214
479	5725	6202
480	5737	6190
481	5748	6177
482	5760	6166
483	5772	6154
484	5784	6142
485	5795	6129
486	5807	6117
487	5819	6105
488	5830	6092
489	5842	6080
490	5853	6068
491	5866	6057
492	5878	6045
493	5889	6032
494	5901	6020
495	5913	6009
496	5925	5996
497	5936	5984
498	5948	5972
499	5960	5960
500	5971	5947
501	5983	5935
502	5994	5923
503	6006	5910
504	6017	5898
505	6029	5886
506	6040	5873
507	6052	5861
508	6064	5849
509	6082	5844
510	6102	5839
511	6120	5833
512	6140	5829
513	6159	5823
514	6174	5814
515	6188	5804
516	6211	5802
517	6224	5792
518	6238	5781
519	6251	5770
520	6264	5759
521	6276	5747
522	6287	5734
523	6299	5722
524	6310	5709
525	6323	5698
526	6334	5685
527	6347	5673
528	6358	5661
529	6369	5648
530	6381	5636
531	6393	5624
532	6405	5612
533	6416	5599
534	6428	5587
535	6440	5575
536	6451	5562
537	6463	5550
538	6475	5538
539	6486	5525
540	6498	5513
541	6510	5501
542	6521	5488
543	6533	5476
544	6544	5463
545	6556	5451
546	6567	5439
547	6579	5426
548	6591	5414
549	6603	5402
550	6614	5389
551	6625	5377
552	6637	5365
553	6649	5353
554	6661	5340
555	6673	5328
556	6684	5316
557	6695	5303
558	6707	5291
559	6719	5279
560	6731	5267
561	6743	5255
562	6755	5243
563	6767	5231
564	6778	5218
565	6789	5206
566	6801	5194
567	6813	5181
568	6824	5169
569	6839	5159
570	6852	5148
571	6864	5136
572	6876	5124
573	6888	5112
574	6899	5099
575	6912	5088
576	6924	5076
577	6936	5064
578	6947	5051
579	6958	5039
580	6970	5027
581	6982	5015
582	6994	5002
583	7006	4990
584	7017	4978
585	7029	4966
586	7040	4953
587	7052	4941
588	7063	4928
589	7075	4916
590	7086	4904
591	7098	4892
592	7110	4879
593	7121	4867
594	7133	4855
595	7145	4843
596	7157	4831
597	7169	4819
598	7180	4807
599	7192	4794
600	7203	4782
601	7215	4770
602	7227	4758
603	7238	4745
604	7250	4733
605	7261	4721
606	7273	4709
607	7285	4696
608	7296	4684
609	7308	4672
610	7319	4660
611	7331	4648
612	7343	4635
613	7354	4623
614	7365	4611
615	7377	4599
616	7389	4586
617	7401	4574
618	7412	4562
619	7424	4550
620	7435	4537
621	7446	4525
622	7458	4513
623	7470	4501
624	7481	4489
625	7493	4477
626	7505	4464
627	7516	4452
628	7528	4440
629	7540	4428
630	7552	4416
631	7563	4404
632	7575	4392
633	7587	4380
634	7599	4368
635	7610	4355
636	7622	4343
637	7633	4331
638	7645	4319
639	7657	4307
640	7668	4295
641	7680	4283
642	7692	4270
643	7703	4258
644	7715	4246
645	7727	4234
646	7738	4222
647	7749	4209
648	7761	4197
649	7773	4185
650	7785	4173
651	7797	4161
652	7808	4149
653	7820	4137
654	7831	4125
655	7843	4112
656	7854	4100
657	7866	4088
658	7877	4076
659	7889	4064
660	7901	4052
661	7914	4040
662	7926	4028
663	7937	4016
664	7948	4004
665	7960	3991
666	7972	3980
667	7983	3968
668	7995	3955
669	8006	3943
670	8018	3931
671	8030	3919
672	8041	3907
673	8053	3895
674	8065	3883
675	8076	3871
676	8088	3859
677	8100	3847
678	8111	3834
679	8123	3822
680	8135	3810
681	8147	3798
682	8158	3786
683	8170	3774
684	8181	3762
685	8193	3750
686	8205	3738
687	8217	3726
688	8229	3714
689	8240	3702
690	8253	3690
691	8265	3678
692	8277	3666
693	8288	3654
694	8300	3642
695	8311	3630
696	8323	3618
697	8335	3606
698	8347	3594
699	8358	3582
700	8370	3570
701	8382	3558
702	8393	3546
703	8405	3533
704	8416	3521
705	8427	3509
706	8439	3497
707	8450	3485
708	8461	3473
709	8473	3460
710	8484	3448
711	8496	3436
712	8508	3424
713	8519	3412
714	8531	3400
715	8543	3388
716	8554	3376
717	8566	3364
718	8577	3352
719	8588	3340
720	8600	3328
721	8611	3315
722	8623	3303
723	8635	3291
724	8646	3279
725	8658	3267
726	8669	3255
727	8681	3243
728	8692	3231
729	8704	3219
730	8716	3207
731	8728	3195
732	8740	3183
733	8752	3171
734	8763	3159
735	8775	3147
736	8786	3135
737	8798	3123
738	8810	3111
739	8822	3099
740	8833	3087
741	8845	3075
742	8856	3063
743	8868	3051
744	8879	3039
745	8891	3027
746	8902	3015
747	8914	3003
748	8926	2991
749	8938	2979
750	8950	2967
751	8962	2955
752	8973	2943
753	8985	2931
754	8996	2919
755	9008	2907
756	9019	2895
757	9031	2883
758	9042	2871
759	9054	2859
760	9066	2847
761	9077	2835
762	9089	2823
763	9101	2811
764	9112	2799
765	9123	2787
766	9135	2775
767	9146	2763
768	9157	2750
769	9169	2738
770	9180	2726
771	9192	2714
772	9204	2702
773	9215	2690
774	9227	2678
775	9239	2666
776	9250	2654
777	9261	2642
778	9273	2630
779	9285	2618
780	9296	2606
781	9308	2594
782	9319	2582
783	9331	2570
784	9342	2558
785	9353	2546
786	9365	2534
787	9377	2522
788	9389	2510
789	9400	2498
790	9412	2487
791	9424	2475
792	9435	2463
793	9447	2451
794	9459	2439
795	9470	2427
796	9482	2415
797	9494	2403
798	9505	2391
799	9517	2379
800	9528	2367
801	9540	2355
802	9552	2343
803	9563	2331
804	9575	2319
805	9586	2307
806	9598	2295
807	9609	2283
808	9621	2271
809	9633	2259
810	9644	2247
811	9656	2235
812	9668	2223
813	9680	2211
814	9691	2199
815	9703	2188
816	9714	2176
817	9726	2164
818	9737	2152
819	9749	2140
820	9761	2128
821	9772	2116
822	9784	2104
823	9796	2092
824	9808	2080
825	9819	2068
826	9831	2056
827	9843	2044
828	9854	2032
829	9866	2020
830	9878	2008
831	9889	1996
832	9901	1985
833	9913	1973
834	9924	1961
835	9936	1949
836	9948	1937
837	9959	1925
838	9971	1913
839	9983	1901
840	9994	1889
841	10005	1877
842	10017	1865
843	10028	1853
844	10040	1841
845	10052	1829
846	10063	1817
847	10074	1805
848	10088	1794
849	10100	1782
850	10111	1770
851	10123	1758
852	10135	1746
853	10146	1734
854	10158	1722
855	10170	1710
856	10181	1698
857	10193	1687
858	10205	1675
